reader_id,original_text,publisher,published_date,is_parent
57512,創作探偵小説集第四卷,春陽堂,1926-9-26,True
57512,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
57230,たのしい三年生,講談社,1959-4～12,True
57230,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005-3-20,False
56682,魔法人形／サーカスの怪人,江戸川乱歩推理文庫、講談社,1988-5-6,False
56679,灰色の巨人／魔法博士,江戸川乱歩推理文庫、講談社,1988-3-8,False
57165,文庫の雑誌／ぼくらの推理冒険物語　少年探偵王　本格推理マガジン,光文社文庫、光文社,2002-4-20,False
57245,江戸川亂歩全集　第四卷,平凡社,1931-8-11,True
57245,江戸川乱歩全集　第5巻　押絵と旅する男,光文社文庫、光文社,2005-1-20,False
57195,江戸川乱歩全集　第一巻,平凡社,1931-6,True
57195,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57521,江戸川乱歩全集　第五巻,平凡社,1931-7,True
57521,江戸川乱歩全集　第8巻　目羅博士の不思議な犯罪,光文社文庫、光文社,2004-6-20,False
57513,創作探偵小説集第四卷,春陽堂,1926-9-26,True
57513,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
57514,創作探偵小説集第四巻　湖畔亭事件,春陽堂,1926-9,True
57514,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005-11-20,False
56684,奇面城の秘密／夜光人間,江戸川乱歩推理文庫、講談社,1988-6-8,False
56649,江戸川乱歩全集　第二巻,平凡社,1931-10,True
56649,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
57196,江戸川乱歩全集　第一巻,平凡社,1931-6,True
57196,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
58465,江戸川乱歩全集　第三巻,桃源社,1961-11,True
58465,江戸川乱歩全集　第22巻　ぺてん師と空気男,光文社文庫、光文社,2005-9-20,False
57197,江戸川乱歩全集　第九巻,平凡社,1932-3,True
57197,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004-7-20,False
56670,妖怪博士／青銅の魔人,江戸川乱歩推理文庫、講談社,1987-11-6,False
56681,黄金豹／妖人ゴング,江戸川乱歩推理文庫、講談社,1988-4-8,False
56691,おれは二十面相だ／妖星人Ｒ,江戸川乱歩推理文庫、講談社,1988-9-8,False
58467,江戸川乱歩全集　第七巻,平凡社,1931-12,True
58467,江戸川乱歩全集　第4巻　孤島の鬼,光文社文庫、光文社,2003-8-20,False
