見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,4
デスク,ですく,デスク,名詞,普通名詞,代表表記:デスク/ですく カテゴリ:人工物-その他,< 章なし >,0,4
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,4
前,まえ,前,名詞,副詞的名詞,代表表記:前/まえ,< 章なし >,0,4
に,に,に,助詞,格助詞,NIL,< 章なし >,0,4
、,、,、,特殊,読点,NIL,< 章なし >,0,4
そっと,そっと,そっと,副詞,*,代表表記:そっと/そっと スル接続可能,< 章なし >,0,4
腰,こし,腰,名詞,普通名詞,代表表記:腰/こし カテゴリ:動物-部位;抽象物 漢字読み:訓,< 章なし >,0,4
を,を,を,助詞,格助詞,NIL,< 章なし >,0,4
かけ,かけ,かける,動詞,*,代表表記:掛ける/かける 自他動詞:自:掛かる/かかる 補文ト 付属動詞候補（基本）,< 章なし >,0,4
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,4
。,。,。,特殊,句点,NIL,< 章なし >,0,4
そして,そして,そして,接続詞,*,代表表記:そして/そして,< 章なし >,0,5
何,なに,何,名詞,普通名詞,代表表記:何/なに カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,5
か,か,か,助詞,接続助詞,NIL,< 章なし >,0,5
こう,こう,こう,指示詞,副詞形態指示詞,NIL,< 章なし >,0,5
盗み,ぬすみ,盗み,名詞,普通名詞,代表表記:盗み/ぬすみv 連用形名詞化:盗む/ぬすむ,< 章なし >,0,5
で,で,だ,判定詞,*,NIL,< 章なし >,0,5
も,も,も,助詞,副助詞,NIL,< 章なし >,0,5
する,する,する,接尾辞,動詞性接尾辞,代表表記:する/する,< 章なし >,0,5
時,とき,時,名詞,副詞的名詞,代表表記:時/とき,< 章なし >,0,5
の,の,だ,判定詞,*,NIL,< 章なし >,0,5
様な,ような,様だ,助動詞,*,NIL,< 章なし >,0,5
恰好で,かっこうで,恰好だ,形容詞,*,代表表記:恰好だ/かっこうだ,< 章なし >,0,5
、,、,、,特殊,読点,NIL,< 章なし >,0,5
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,5
の,の,の,助詞,格助詞,NIL,< 章なし >,0,5
本,ほん,本,接頭辞,名詞接頭辞,代表表記:本/ほん 内容語,< 章なし >,0,5
立て,たて,立て,名詞,普通名詞,代表表記:立て/たてv 自他動詞:自:立つ/たつ 連用形名詞化:立てる/たてる 付属動詞候補（基本）,< 章なし >,0,5
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,5
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,< 章なし >,0,5
に,に,に,助詞,格助詞,NIL,< 章なし >,0,5
沢山の,たくさんの,沢山だ,形容詞,*,代表表記:沢山だ/たくさんだ,< 章なし >,0,5
帳簿,ちょうぼ,帳簿,名詞,普通名詞,代表表記:帳簿/ちょうぼ ドメイン:ビジネス カテゴリ:人工物-金銭,< 章なし >,0,5
と,と,と,助詞,格助詞,NIL,< 章なし >,0,5
一緒に,いっしょに,一緒だ,形容詞,*,代表表記:一緒だ/いっしょだ,< 章なし >,0,5
立てて,たてて,立てる,動詞,*,代表表記:立てる/たてる 自他動詞:自:立つ/たつ 付属動詞候補（基本）,< 章なし >,0,5
あった,あった,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,< 章なし >,0,5
一挺,一挺,一挺,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,5
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,5
算盤,そろばん,算盤,名詞,普通名詞,代表表記:十露盤/そろばん ドメイン:教育・学習 カテゴリ:人工物-その他,< 章なし >,0,5
を,を,を,助詞,格助詞,NIL,< 章なし >,0,5
取出す,とりだす,取出す,動詞,*,代表表記:取り出す/とりだす,< 章なし >,0,5
と,と,と,助詞,格助詞,NIL,< 章なし >,0,5
、,、,、,特殊,読点,NIL,< 章なし >,0,5
デスク,ですく,デスク,名詞,普通名詞,代表表記:デスク/ですく カテゴリ:人工物-その他,< 章なし >,0,5
の,の,の,助詞,格助詞,NIL,< 章なし >,0,5
端,はし,端,名詞,普通名詞,代表表記:端/はし カテゴリ:場所-機能 漢字読み:訓,< 章なし >,0,5
に,に,に,助詞,格助詞,NIL,< 章なし >,0,5
おいて,おいて,おく,動詞,*,代表表記:置く/おく,< 章なし >,0,5
、,、,、,特殊,読点,NIL,< 章なし >,0,5
如何にも,いかにも,如何にも,副詞,*,代表表記:如何にも/いかにも,< 章なし >,0,5
なれた,なれた,なれる,動詞,*,代表表記:慣れる/なれる 自他動詞:他:慣らす/ならす 付属動詞候補（基本）,< 章なし >,0,5
手つき,てつき,手つき,名詞,普通名詞,代表表記:手付き/てつき カテゴリ:抽象物,< 章なし >,0,5
で,で,で,助詞,格助詞,NIL,< 章なし >,0,5
その,その,その,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,5
玉,たま,玉,名詞,普通名詞,代表表記:玉/たま カテゴリ:形・模様 漢字読み:訓,< 章なし >,0,5
を,を,を,助詞,格助詞,NIL,< 章なし >,0,5
パチパチ,ぱちぱち,パチパチ,名詞,普通名詞,代表表記:パチパチ/ぱちぱち 自動獲得:テキスト 副詞識別,< 章なし >,0,5
はじき,はじき,はじく,動詞,*,代表表記:弾く/はじく 自他動詞:自:弾ける/はじける,< 章なし >,0,5
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,5
。,。,。,特殊,句点,NIL,< 章なし >,0,5
「,「,「,特殊,括弧始,NIL,< 章なし >,0,6
十二億四千五百三十二万二千二百二十二,十二億四千五百三十二万二千二百二十二,十二億四千五百三十二万二千二百二十二,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,6
円,えん,円,接尾辞,名詞性名詞助数辞,代表表記:円/えん 準内容語,< 章なし >,0,6
七十二,七十二,七十二,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,6
銭,せん,銭,接尾辞,名詞性名詞助数辞,代表表記:銭/せん 準内容語,< 章なし >,0,6
なり,なり,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,< 章なし >,0,6
か,か,か,助詞,終助詞,NIL,< 章なし >,0,6
。,。,。,特殊,句点,NIL,< 章なし >,0,6
フフ,フフ,フフ,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,< 章なし >,0,7
」,」,」,特殊,括弧終,NIL,< 章なし >,0,7
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,< 章なし >,0,7
は,は,は,助詞,副助詞,NIL,< 章なし >,0,7
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,7
に,に,に,助詞,格助詞,NIL,< 章なし >,0,7
おか,おか,おく,動詞,*,代表表記:置く/おく,< 章なし >,0,7
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,< 章なし >,0,7
非常に,ひじょうに,非常だ,形容詞,*,代表表記:非常だ/ひじょうだ,< 章なし >,0,7
大きな,おおきな,大きな,連体詞,*,代表表記:大きな/おおきな 反義:連体詞:小さな/ちいさな 形容詞派生:大きい/おおきい,< 章なし >,0,7
金額,きんがく,金額,名詞,普通名詞,代表表記:金額/きんがく ドメイン:ビジネス カテゴリ:数量,< 章なし >,0,7
を,を,を,助詞,格助詞,NIL,< 章なし >,0,7
読み,よみ,読む,動詞,*,代表表記:読む/よむ,< 章なし >,0,7
上げて,あげて,上げる,動詞,*,代表表記:上げる/あげる 反義:動詞:下ろす/おろす;動詞:降ろす/おろす 自他動詞:自:上がる/あがる 付属動詞候補（基本） 付属動詞候補（タ系）,< 章なし >,0,7
、,、,、,特殊,読点,NIL,< 章なし >,0,7
妙な,みょうな,妙だ,形容詞,*,代表表記:妙だ/みょうだ,< 章なし >,0,7
笑い,わらい,笑い,名詞,普通名詞,代表表記:笑い/わらいv 反義:動詞:泣く/なく 連用形名詞化:笑う/わらう,< 章なし >,0,7
方,かた,方,接尾辞,名詞性述語接尾辞,代表表記:方/かた カテゴリ:抽象物 同義:名詞:方法/ほうほう 内容語,< 章なし >,0,7
を,を,を,助詞,格助詞,NIL,< 章なし >,0,7
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,7
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,7
。,。,。,特殊,句点,NIL,< 章なし >,0,7
そして,そして,そして,接続詞,*,代表表記:そして/そして,< 章なし >,0,8
、,、,、,特殊,読点,NIL,< 章なし >,0,8
その,その,その,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,8
算盤,そろばん,算盤,名詞,普通名詞,代表表記:十露盤/そろばん ドメイン:教育・学習 カテゴリ:人工物-その他,< 章なし >,0,8
を,を,を,助詞,格助詞,NIL,< 章なし >,0,8
そのまま,そのまま,そのまま,副詞,*,代表表記:そのまま/そのまま 〜を〜に構成語 修飾（ニ格） 修飾（デ格） 数量修飾,< 章なし >,0,8
Ｓ子,Ｓ子,Ｓ子,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:ココリコミラクルタイプ 読み不明,< 章なし >,0,8
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,8
デスク,ですく,デスク,名詞,普通名詞,代表表記:デスク/ですく カテゴリ:人工物-その他,< 章なし >,0,8
の,の,の,助詞,格助詞,NIL,< 章なし >,0,8
なるべく,なるべく,なるべく,副詞,*,代表表記:なるべく/なるべく,< 章なし >,0,8
目,め,目,名詞,普通名詞,代表表記:目/め カテゴリ:動物-部位 漢字読み:訓,< 章なし >,0,8
に,に,に,助詞,格助詞,NIL,< 章なし >,0,8
つき,つき,つく,動詞,*,代表表記:付く/つく 自他動詞:他:付ける/つける 補文ト 付属動詞候補（基本）,< 章なし >,0,8
易い,やすい,易い,接尾辞,形容詞性述語接尾辞,代表表記:やすい/やすい 反義:接尾辞-形容詞性述語接尾辞:にくい/にくい;接尾辞-形容詞性述語接尾辞:がたい/がたい;接尾辞-形容詞性述語接尾辞:づらい/づらい,< 章なし >,0,8
場所,ばしょ,場所,名詞,普通名詞,代表表記:場所/ばしょ カテゴリ:場所-その他,< 章なし >,0,8
へ,へ,へ,助詞,格助詞,NIL,< 章なし >,0,8
おいて,おいて,おく,動詞,*,代表表記:置く/おく,< 章なし >,0,8
、,、,、,特殊,読点,NIL,< 章なし >,0,8
自分,じぶん,自分,名詞,普通名詞,代表表記:自分/じぶん カテゴリ:人 修飾（デ格）,< 章なし >,0,8
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,8
席,せき,席,名詞,普通名詞,代表表記:席/せき カテゴリ:場所-施設部位 漢字読み:音,< 章なし >,0,8
に,に,に,助詞,格助詞,NIL,< 章なし >,0,8
帰る,かえる,帰る,動詞,*,代表表記:帰る/かえる 反義:動詞:行く/いく;動詞:来る/くる 自他動詞:他:帰す/かえす,< 章なし >,0,8
と,と,と,助詞,格助詞,NIL,< 章なし >,0,8
、,、,、,特殊,読点,NIL,< 章なし >,0,8
なにげなく,なにげなく,なにげない,形容詞,*,代表表記:何気無い/なにげない,< 章なし >,0,8
その,その,その,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,8
日,にち,日,名詞,時相名詞,代表表記:日/にち カテゴリ:時間 漢字読み:音,< 章なし >,0,8
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,8
仕事,しごと,仕事,名詞,サ変名詞,代表表記:仕事/しごと ドメイン:家庭・暮らし;ビジネス カテゴリ:抽象物,< 章なし >,0,8
に,に,に,助詞,格助詞,NIL,< 章なし >,0,8
取,とり,取,名詞,普通名詞,代表表記:取り/とりv 自他動詞:自:取れる/とれる 連用形名詞化:取る/とる 付属動詞候補（基本） 送り仮名引っ込み,< 章なし >,0,8
かかる,かかる,かかる,動詞,*,代表表記:係る/かかる 名詞派生:係/かかり,< 章なし >,0,8
のでした,のでした,のだ,助動詞,*,NIL,< 章なし >,0,8
。,。,。,特殊,句点,NIL,< 章なし >,0,8
間もなく,まもなく,間もなく,副詞,*,代表表記:間も無く/まもなく,< 章なし >,0,9
、,、,、,特殊,読点,NIL,< 章なし >,0,9
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,9
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,< 章なし >,0,9
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,9
事務,じむ,事務,名詞,普通名詞,代表表記:事務/じむ ドメイン:ビジネス カテゴリ:抽象物,< 章なし >,0,9
員,いん,員,名詞,普通名詞,代表表記:員/いん カテゴリ:人 漢字読み:音,< 章なし >,0,9
が,が,が,助詞,格助詞,NIL,< 章なし >,0,9
ドア,どあ,ドア,名詞,普通名詞,代表表記:ドア/どあ カテゴリ:場所-施設,< 章なし >,0,9
を,を,を,助詞,格助詞,NIL,< 章なし >,0,9
開けて,あけて,開ける,動詞,*,代表表記:開ける/あける 反義:動詞:閉ざす/とざす;動詞:閉じる/とじる;動詞:閉める/しめる 自他動詞:自:開く/あく,< 章なし >,0,9
入って,はいって,入る,動詞,*,代表表記:入る/はいる 反義:動詞:出る/でる 自他動詞:他:入れる/いれる,< 章なし >,0,9
来,き,来る,接尾辞,動詞性接尾辞,代表表記:来る/くる,< 章なし >,0,9
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,9
。,。,。,特殊,句点,NIL,< 章なし >,0,9
「,「,「,特殊,括弧始,NIL,< 章なし >,0,10
ヤア,ヤア,ヤア,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,< 章なし >,0,10
、,、,、,特殊,読点,NIL,< 章なし >,0,10
馬鹿に,ばかに,馬鹿だ,形容詞,*,代表表記:馬鹿だ/ばかだ 同義:形容詞:馬鹿らしい/ばからしい 動詞派生:馬鹿げる/ばかげる,< 章なし >,0,10
