見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
はじまり,はじまり,はじまる,動詞,*,代表表記:始まる/はじまる 反義:動詞:終わる/おわる 自他動詞:他:始める/はじめる,0,1
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
その,その,その,指示詞,連体詞形態指示詞,NIL,0,2
出来事,できごと,出来事,名詞,普通名詞,代表表記:出来事/できごと カテゴリ:抽象物,0,2
と,と,と,助詞,格助詞,NIL,0,2
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,2
の,の,の,名詞,形式名詞,NIL,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
一,いち,一,名詞,数詞,カテゴリ:数量,0,2
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,0,2
は,は,は,助詞,副助詞,NIL,0,2
たいへん,たいへん,たいへん,副詞,*,代表表記:大変/たいへん,0,2
ゆかいな,ゆかいな,ゆかいだ,形容詞,*,代表表記:愉快だ/ゆかいだ 反義:形容詞:不快だ/ふかいだ;形容詞:不愉快だ/ふゆかいだ,0,2
、,、,、,特殊,読点,NIL,0,2
おもしろくて,おもしろくて,おもしろい,形容詞,*,代表表記:面白い/おもしろい 反義:形容詞:つまらない/つまらない,0,2
たまら,たまら,たまる,動詞,*,代表表記:堪る/たまる,0,2
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,2
ような,ような,ようだ,助動詞,*,NIL,0,2
こと,こと,こと,名詞,形式名詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
もう,もう,もう,副詞,*,代表表記:もう/もう 数量修飾,0,2
一,いち,一,名詞,数詞,カテゴリ:数量,0,2
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
なんだか,なんだか,なんだか,副詞,*,代表表記:何だか/なんだか,0,2
ゾーッと,ぞっと,ゾッと,副詞,*,代表表記:ゾッと/ぞっと スル接続可能 非標準表記:DP,0,2
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,2
ような,ような,ようだ,助動詞,*,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
えたいのしれない,えたいのしれない,えたいのしれない,連体詞,*,代表表記:得体の知れない/えたいのしれない,0,2
おそろしい,おそろしい,おそろしい,形容詞,*,代表表記:恐ろしい/おそろしい,0,2
こと,こと,こと,名詞,形式名詞,NIL,0,2
でした,でした,だ,判定詞,*,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
ある,ある,ある,連体詞,*,代表表記:或る/ある,0,3
春,しゅん,春,名詞,時相名詞,代表表記:春/しゅん カテゴリ:時間 漢字読み:音,0,3
の,の,の,助詞,接続助詞,NIL,0,3
日曜日,にちようび,日曜日,名詞,時相名詞,代表表記:日曜日/にちようび カテゴリ:時間,0,3
、,、,、,特殊,読点,NIL,0,3
天野,あまの,天野,名詞,人名,人名:日本:姓:193:0.00131,0,3
勇一,ゆういち,勇一,名詞,人名,人名:日本:名:1482:0.00012,0,3
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,3
は,は,は,助詞,副助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,3
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,3
の,の,の,助詞,接続助詞,NIL,0,3
そば,そば,そば,名詞,普通名詞,代表表記:傍/そば カテゴリ:場所-機能,0,3
の,の,の,助詞,接続助詞,NIL,0,3
広,ひろし,広,名詞,人名,人名:日本:名:705:0.00023,0,3
っぱ,っぱ,っぱ,未定義語,その他,未知語:ひらがな 品詞推定:名詞,0,3
で,で,で,助詞,格助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
野球,やきゅう,野球,名詞,普通名詞,代表表記:野球/やきゅう ドメイン:スポーツ カテゴリ:抽象物,0,3
を,を,を,助詞,格助詞,NIL,0,3
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,3
遊んで,あそんで,遊ぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,0,3
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,3
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,3
。,。,。,特殊,句点,NIL,0,3
場所,ばしょ,場所,名詞,普通名詞,代表表記:場所/ばしょ カテゴリ:場所-その他,0,4
は,は,は,助詞,副助詞,NIL,0,4
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,0,4
の,の,の,助詞,接続助詞,NIL,0,4
世田谷,せたがや,世田谷,名詞,地名,代表表記:世田谷/せたがや 地名:日本:東京都:区,0,4
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,4
の,の,の,助詞,格助詞,NIL,0,4
、,、,、,特殊,読点,NIL,0,4
ある,ある,ある,連体詞,*,代表表記:或る/ある,0,4
屋敷,やしき,屋敷,名詞,普通名詞,代表表記:屋敷/やしき ドメイン:家庭・暮らし カテゴリ:場所-施設,0,4
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,0,4
です,です,だ,判定詞,*,NIL,0,4
。,。,。,特殊,句点,NIL,0,4
広い,ひろい,広い,形容詞,*,代表表記:広い/ひろい 反義:形容詞:狭い/せまい,0,5
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,5
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,5
の,の,の,助詞,格助詞,NIL,0,5
ならんだ,ならんだ,ならぶ,動詞,*,代表表記:並ぶ/ならぶ 自他動詞:他:並べる/ならべる 付属動詞候補（基本）,0,5
、,、,、,特殊,読点,NIL,0,5
屋敷,やしき,屋敷,名詞,地名,自動獲得:Wikipedia Wikipedia多義 Wikipedia複合地名,0,5
