見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
が,が,が,助詞,格助詞,NIL,0,3
すんで,すんで,すむ,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,0,3
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,3
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,3
。,。,。,特殊,句点,NIL,0,3
二,に,二,名詞,数詞,カテゴリ:数量,0,4
かい,かい,かい,名詞,普通名詞,代表表記:下位/かい カテゴリ:抽象物,0,4
だて,だて,だてだ,形容詞,*,代表表記:伊達だ/だてだ,0,4
の,の,の,助詞,格助詞,NIL,0,4
ふるい,ふるい,ふるい,形容詞,*,代表表記:古い/ふるい 反義:形容詞:新しい/あたらしい,0,4
せいよ,せいよ,せいよ,名詞,普通名詞,代表表記:声誉/せいよ 自動獲得:Wiktionary,0,4
うかんで,うかんで,うかぶ,動詞,*,代表表記:浮かぶ/うかぶ 反義:動詞:沈む/しずむ 自他動詞:他:浮かべる/うかべる,0,4
、,、,、,特殊,読点,NIL,0,4
その,その,その,指示詞,連体詞形態指示詞,NIL,0,4
まわり,まわり,まわり,名詞,普通名詞,代表表記:周り/まわり カテゴリ:場所-その他,0,4
は,は,は,助詞,副助詞,NIL,0,4
、,、,、,特殊,読点,NIL,0,4
木,き,木,名詞,普通名詞,代表表記:木/き カテゴリ:植物 漢字読み:訓,0,4
の,の,の,助詞,格助詞,NIL,0,4
いっぱい,いっぱい,いっぱい,副詞,*,代表表記:一杯/いっぱい 修飾（ニ格）,0,4
はえた,はえた,はえる,動詞,*,代表表記:映える/はえる,0,4
にわ,にわ,にわ,名詞,普通名詞,代表表記:庭/にわ カテゴリ:場所-施設 漢字読み:訓,0,4
で,で,で,助詞,格助詞,NIL,0,4
かこま,かこま,かこむ,動詞,*,代表表記:囲む/かこむ,0,4
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,4
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,4
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,4
。,。,。,特殊,句点,NIL,0,4
この,この,この,指示詞,連体詞形態指示詞,NIL,0,5
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,0,5
いえ,いえ,いえ,名詞,普通名詞,代表表記:家/いえ ドメイン:家庭・暮らし カテゴリ:組織・団体;場所-施設 漢字読み:訓,0,5
の,の,の,助詞,格助詞,NIL,0,5
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,0,5
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,0,5
は,は,は,助詞,副助詞,NIL,0,5
、,、,、,特殊,読点,NIL,0,5
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,0,5
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,5
と,と,と,助詞,格助詞,NIL,0,5
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,5
、,、,、,特殊,読点,NIL,0,5
四十,四十,四十,名詞,数詞,カテゴリ:数量 未知語:数字,0,5
ぐらい,ぐらい,ぐらい,助詞,副助詞,代表表記:くらい/くらい,0,5
の,の,の,助詞,格助詞,NIL,0,5
おじさん,おじさん,おじさん,名詞,普通名詞,代表表記:伯父さん/おじさん ドメイン:家庭・暮らし カテゴリ:人,0,5
でした,でした,だ,判定詞,*,NIL,0,5
。,。,。,特殊,句点,NIL,0,5
おくさん,おくさん,おくさん,名詞,普通名詞,代表表記:奥さん/おくさん ドメイン:家庭・暮らし カテゴリ:人,0,6
も,も,も,助詞,副助詞,NIL,0,6
子ども,こども,子ども,名詞,普通名詞,代表表記:子供/こども カテゴリ:人,0,6
も,も,も,助詞,副助詞,NIL,0,6
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,0,6
、,、,、,特殊,読点,NIL,0,6
たった,たった,たった,連体詞,*,代表表記:たった/たった,0,6
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,0,6
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,6
で,で,で,助詞,格助詞,NIL,0,6
、,、,、,特殊,読点,NIL,0,6
その,その,その,指示詞,連体詞形態指示詞,NIL,0,6
ひろい,ひろい,ひろい,形容詞,*,代表表記:広い/ひろい 反義:形容詞:狭い/せまい,0,6
せい,せい,せい,名詞,副詞的名詞,代表表記:せい/せい,0,6
ようかん,ようかん,ようかん,名詞,普通名詞,代表表記:洋館/ようかん カテゴリ:場所-施設,0,6
に,に,に,助詞,格助詞,NIL,0,6
すんで,すんで,すむ,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,0,6
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,6
のです,のです,のだ,助動詞,*,NIL,0,6
。,。,。,特殊,句点,NIL,0,6
きんじょ,きんじょ,きんじょ,名詞,普通名詞,代表表記:近所/きんじょ ドメイン:家庭・暮らし カテゴリ:場所-その他,0,7
の,の,の,助詞,接続助詞,NIL,0,7
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,0,7
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,0,7
は,は,は,助詞,副助詞,NIL,0,7
、,、,、,特殊,読点,NIL,0,7
この,この,この,指示詞,連体詞形態指示詞,NIL,0,7
せい,せい,せい,名詞,副詞的名詞,代表表記:せい/せい,0,7
ようかん,ようかん,ようかん,名詞,普通名詞,代表表記:洋館/ようかん カテゴリ:場所-施設,0,7
を,を,を,助詞,格助詞,NIL,0,7
ばけもの,ばけもの,ばけもの,名詞,普通名詞,代表表記:化け物/ばけもの カテゴリ:抽象物,0,7
や,や,や,助詞,接続助詞,NIL,0,7
しき,しき,しき,名詞,サ変名詞,代表表記:指揮/しき カテゴリ:抽象物,0,7
と,と,と,助詞,格助詞,NIL,0,7
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,0,7
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,7
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,7
。,。,。,特殊,句点,NIL,0,7
また,また,また,副詞,*,代表表記:又/また,0,8
、,、,、,特殊,読点,NIL,0,8
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,0,8
に,に,に,助詞,格助詞,NIL,0,8
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,0,8
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,8
で,で,で,助詞,格助詞,NIL,0,8
すんで,すんで,すむ,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,0,8
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,8
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,0,8
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,8
を,を,を,助詞,格助詞,NIL,0,8
、,、,、,特殊,読点,NIL,0,8
まほうつかい,まほうつかい,まほうつかい,名詞,普通名詞,代表表記:魔法使い/まほうつかい カテゴリ:人,0,8
と,と,と,助詞,格助詞,NIL,0,8
よんで,よんで,よぶ,動詞,*,代表表記:呼ぶ/よぶ,0,8
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,8
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,8
。,。,。,特殊,句点,NIL,0,8
ところが,ところが,ところが,接続詞,*,代表表記:ところが/ところが,0,9
、,、,、,特殊,読点,NIL,0,9
きむら,きむら,きむら,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia姓,0,9
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,0,9
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,9
の,の,の,助詞,接続助詞,NIL,0,9
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,9
とうさん,とうさん,とうさん,名詞,サ変名詞,代表表記:倒産/とうさん ドメイン:ビジネス カテゴリ:抽象物,0,9
は,は,は,助詞,副助詞,NIL,0,9
、,、,、,特殊,読点,NIL,0,9
この,この,この,指示詞,連体詞形態指示詞,NIL,0,9
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,0,9
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,0,9
と,と,と,助詞,格助詞,NIL,0,9
だいの,だいの,だいの,連体詞,*,代表表記:大の/だいの,0,9
なかよし,なかよし,なかよし,名詞,普通名詞,代表表記:仲良し/なかよし カテゴリ:抽象物,0,9
だった,だった,だ,判定詞,*,NIL,0,9
ので,ので,のだ,助動詞,*,NIL,0,9
、,、,、,特殊,読点,NIL,0,9
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,0,9
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,9
は,は,は,助詞,副助詞,NIL,0,9
、,、,、,特殊,読点,NIL,0,9
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,0,9
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,9
の,の,の,助詞,接続助詞,NIL,0,9
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,9
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,9
へ,へ,へ,助詞,格助詞,NIL,0,9
よく,よく,よく,副詞,*,代表表記:良く/よく,0,9
あそび,あそび,あそぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,0,9
に,に,に,助詞,格助詞,NIL,0,9
