見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,77
が,が,が,助詞,格助詞,NIL,< 章なし >,0,77
目立,めだ,目立つ,動詞,*,代表表記:目立つ/めだつ,< 章なし >,0,77
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,77
。,。,。,特殊,句点,NIL,< 章なし >,0,77
三,さん,三,名詞,数詞,カテゴリ:数量,< 章なし >,0,78
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,< 章なし >,0,78
……,……,……,特殊,記号,NIL,< 章なし >,0,78
十,じゅう,十,名詞,数詞,カテゴリ:数量,< 章なし >,0,78
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,78
、,、,、,特殊,読点,NIL,< 章なし >,0,78
十三,十三,十三,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,78
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,78
、,、,、,特殊,読点,NIL,< 章なし >,0,78
十七,十七,十七,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,78
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,78
、,、,、,特殊,読点,NIL,< 章なし >,0,78
二十三,二十三,二十三,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,78
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,78
、,、,、,特殊,読点,NIL,< 章なし >,0,78
。,。,。,特殊,句点,NIL,< 章なし >,0,78
四,よん,四,名詞,数詞,カテゴリ:数量,< 章なし >,0,79
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,< 章なし >,0,79
……,……,……,特殊,記号,NIL,< 章なし >,0,79
六,ろく,六,名詞,数詞,カテゴリ:数量,< 章なし >,0,79
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,79
、,、,、,特殊,読点,NIL,< 章なし >,0,79
十四,十四,十四,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,79
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,79
、,、,、,特殊,読点,NIL,< 章なし >,0,79
十八,十八,十八,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,79
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,79
、,、,、,特殊,読点,NIL,< 章なし >,0,79
二十六,二十六,二十六,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,79
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,79
、,、,、,特殊,読点,NIL,< 章なし >,0,79
。,。,。,特殊,句点,NIL,< 章なし >,0,79
五,ご,五,名詞,数詞,カテゴリ:数量,< 章なし >,0,80
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,< 章なし >,0,80
……,……,……,特殊,記号,NIL,< 章なし >,0,80
三,さん,三,名詞,数詞,カテゴリ:数量,< 章なし >,0,80
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,80
、,、,、,特殊,読点,NIL,< 章なし >,0,80
十七,十七,十七,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,80
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,80
、,、,、,特殊,読点,NIL,< 章なし >,0,80
二十五,二十五,二十五,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,80
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,80
、,、,、,特殊,読点,NIL,< 章なし >,0,80
。,。,。,特殊,句点,NIL,< 章なし >,0,80
これ,これ,これ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,81
を,を,を,助詞,格助詞,NIL,< 章なし >,0,81
見る,みる,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,< 章なし >,0,81
と,と,と,助詞,格助詞,NIL,< 章なし >,0,81
、,、,、,特殊,読点,NIL,< 章なし >,0,81
雪枝,雪枝,雪枝,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,< 章なし >,0,81
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,< 章なし >,0,81
は,は,は,助詞,副助詞,NIL,< 章なし >,0,81
弟,おとうと,弟,名詞,普通名詞,代表表記:弟/おとうと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,< 章なし >,0,81
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,81
葉書,はがき,葉書,名詞,普通名詞,代表表記:葉書き/はがき ドメイン:家庭・暮らし カテゴリ:人工物-その他,< 章なし >,0,81
に,に,に,助詞,格助詞,NIL,< 章なし >,0,81
対して,たいして,対する,動詞,*,代表表記:対する/たいする,< 章なし >,0,81
（,（,（,特殊,括弧始,NIL,< 章なし >,0,81
それ,それ,それ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,81
ら,ら,ら,接尾辞,名詞性名詞接尾辞,代表表記:ら/ら,< 章なし >,0,81
は,は,は,助詞,副助詞,NIL,< 章なし >,0,81
皆,みんな,皆,副詞,*,代表表記:皆/みんな 修飾（デ格）,< 章なし >,0,81
何の,なんの,何の,連体詞,*,代表表記:何の/なんの,< 章なし >,0,81
意味,いみ,意味,名詞,サ変名詞,代表表記:意味/いみ カテゴリ:抽象物 修飾（デ格）,< 章なし >,0,81
も,も,も,助詞,副助詞,NIL,< 章なし >,0,81
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,< 章なし >,0,81
文面,ぶんめん,文面,名詞,普通名詞,代表表記:文面/ぶんめん カテゴリ:抽象物,< 章なし >,0,81
で,で,だ,判定詞,*,NIL,< 章なし >,0,81
は,は,は,助詞,副助詞,NIL,< 章なし >,0,81
あり,あり,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,< 章なし >,0,81
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,81
けれど,けれど,けれど,助詞,接続助詞,NIL,< 章なし >,0,81
）,）,）,特殊,括弧終,NIL,< 章なし >,0,81
それぞれ,それぞれ,それぞれ,副詞,*,代表表記:それぞれ/それぞれ,< 章なし >,0,81
返事,へんじ,返事,名詞,サ変名詞,代表表記:返事/へんじ カテゴリ:抽象物,< 章なし >,0,81
を,を,を,助詞,格助詞,NIL,< 章なし >,0,81
出して,だして,出す,動詞,*,代表表記:出す/だす 反義:動詞:隠す/かくす;動詞:入れる/いれる 自他動詞:自:出る/でる 補文ト 付属動詞候補（基本）,< 章なし >,0,81
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,81
外,がい,外,名詞,普通名詞,代表表記:外/がい カテゴリ:場所-機能 漢字読み:音,< 章なし >,0,81
に,に,に,助詞,格助詞,NIL,< 章なし >,0,81
、,、,、,特殊,読点,NIL,< 章なし >,0,81
四,よん,四,名詞,数詞,カテゴリ:数量,< 章なし >,0,81
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,< 章なし >,0,81
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,81
十四,十四,十四,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,81
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,81
、,、,、,特殊,読点,NIL,< 章なし >,0,81
十八,十八,十八,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,81
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,81
、,、,、,特殊,読点,NIL,< 章なし >,0,81
五,ご,五,名詞,数詞,カテゴリ:数量,< 章なし >,0,81
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,< 章なし >,0,81
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,81
三,さん,三,名詞,数詞,カテゴリ:数量,< 章なし >,0,81
日,にち,日,接尾辞,名詞性名詞助数辞,代表表記:日/にち カテゴリ:時間 準内容語,< 章なし >,0,81
と,と,と,助詞,格助詞,NIL,< 章なし >,0,81
、,、,、,特殊,読点,NIL,< 章なし >,0,81
少く,すくなく,少い,形容詞,*,代表表記:少ない/すくない 反義:形容詞:多い/おおい,< 章なし >,0,81
と,と,と,助詞,格助詞,NIL,< 章なし >,0,81
も,も,も,助詞,副助詞,NIL,< 章なし >,0,81
この,この,この,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,81
三,さん,三,名詞,数詞,カテゴリ:数量,< 章なし >,0,81
回,かい,回,接尾辞,名詞性名詞助数辞,代表表記:回/かい 準内容語,< 章なし >,0,81
丈,たけ,丈,名詞,普通名詞,代表表記:丈/たけ カテゴリ:数量 漢字読み:訓,< 章なし >,0,81
け,け,け,名詞,普通名詞,代表表記:毛/け カテゴリ:動物-部位 漢字読み:訓,< 章なし >,0,81
は,は,は,助詞,副助詞,NIL,< 章なし >,0,81
、,、,、,特殊,読点,NIL,< 章なし >,0,81
彼女,かのじょ,彼女,名詞,普通名詞,代表表記:彼女/かのじょ カテゴリ:人,< 章なし >,0,81
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,81
方,かた,方,名詞,普通名詞,代表表記:方/かた カテゴリ:抽象物 漢字読み:訓,< 章なし >,0,81
から,から,から,助詞,格助詞,NIL,< 章なし >,0,81
積極,せっきょく,積極,名詞,普通名詞,代表表記:積極/せっきょく カテゴリ:抽象物,< 章なし >,0,81
的に,てきに,的だ,接尾辞,形容詞性名詞接尾辞,代表表記:的だ/てきだ カテゴリ:抽象物 準内容語,< 章なし >,0,81
文通,ぶんつう,文通,名詞,サ変名詞,代表表記:文通/ぶんつう ドメイン:レクリエーション カテゴリ:抽象物,< 章なし >,0,81
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,81
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,81
のです,のです,のだ,助動詞,*,NIL,< 章なし >,0,81
が,が,が,助詞,接続助詞,NIL,< 章なし >,0,81
、,、,、,特殊,読点,NIL,< 章なし >,0,81
若し,わかし,若い,形容詞,*,代表表記:若い/わかい,< 章なし >,0,81
弟,おとうと,弟,名詞,普通名詞,代表表記:弟/おとうと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,< 章なし >,0,81
が,が,が,助詞,格助詞,NIL,< 章なし >,0,81
彼女,かのじょ,彼女,名詞,普通名詞,代表表記:彼女/かのじょ カテゴリ:人,< 章なし >,0,81
を,を,を,助詞,格助詞,NIL,< 章なし >,0,81
恋して,こいして,恋する,動詞,*,代表表記:恋する/こいする ドメイン:家庭・暮らし 名詞派生:恋/こい,< 章なし >,0,81
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,81
と,と,と,助詞,格助詞,NIL,< 章なし >,0,81
すれば,すれば,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,81
、,、,、,特殊,読点,NIL,< 章なし >,0,81
何故,なぜ,何故,副詞,*,代表表記:何故/なぜ,< 章なし >,0,81
この,この,この,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,81
三,さん,三,名詞,数詞,カテゴリ:数量,< 章なし >,0,81
回,かい,回,接尾辞,名詞性名詞助数辞,代表表記:回/かい 準内容語,< 章なし >,0,81
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,81
文通,ぶんつう,文通,名詞,サ変名詞,代表表記:文通/ぶんつう ドメイン:レクリエーション カテゴリ:抽象物,< 章なし >,0,81
に,に,に,助詞,格助詞,NIL,< 章なし >,0,81
対して,たいして,対する,動詞,*,代表表記:対する/たいする,< 章なし >,0,81
答える,こたえる,答える,動詞,*,代表表記:答える/こたえる 反義:動詞:問う/とう 補文ト,< 章なし >,0,81
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,81
を,を,を,助詞,格助詞,NIL,< 章なし >,0,81
怠って,おこたって,怠る,動詞,*,代表表記:怠る/おこたる,< 章なし >,0,81
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,81
のでしょう,のでしょう,のだ,助動詞,*,NIL,< 章なし >,0,81
。,。,。,特殊,句点,NIL,< 章なし >,0,81
それ,それ,それ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,82
は,は,は,助詞,副助詞,NIL,< 章なし >,0,82
、,、,、,特殊,読点,NIL,< 章なし >,0,82
あの,あの,あの,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,82
日記,にっき,日記,名詞,普通名詞,代表表記:日記/にっき ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,< 章なし >,0,82
帳,ちょう,帳,名詞,普通名詞,代表表記:帳/ちょう カテゴリ:人工物-その他 漢字読み:音,< 章なし >,0,82
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,82
文句,もんく,文句,名詞,普通名詞,代表表記:文句/もんく カテゴリ:抽象物,< 章なし >,0,82
