見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
なおさら,なおさら,なおさら,副詞,*,代表表記:なおさら/なおさら,0,3
の,の,だ,判定詞,*,NIL,0,3
ような,ような,ようだ,助動詞,*,NIL,0,3
丸い,まるい,丸い,形容詞,*,代表表記:丸い/まるい 名詞派生:丸/まる,0,3
もの,もの,もの,名詞,形式名詞,NIL,0,3
が,が,が,助詞,格助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
ひじょうな,ひじょうな,ひじょうだ,形容詞,*,代表表記:非常だ/ひじょうだ,0,3
早,はや,早い,形容詞,*,代表表記:早い/はやい 反義:形容詞:遅い/おそい,0,3
さ,さ,さ,接尾辞,名詞性述語接尾辞,代表表記:さ/さ カテゴリ:抽象物;数量 準内容語,0,3
で,で,だ,判定詞,*,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
高い,たかい,高い,形容詞,*,代表表記:高い/たかい 反義:形容詞:安い/やすい;形容詞:低い/ひくい,0,3
空,から,空,名詞,普通名詞,代表表記:空/から カテゴリ:抽象物 漢字読み:訓,0,3
を,を,を,助詞,格助詞,NIL,0,3
飛んで,とんで,飛ぶ,動詞,*,代表表記:飛ぶ/とぶ 自他動詞:他:飛ばす/とばす,0,3
いく,いく,いく,接尾辞,動詞性接尾辞,代表表記:いく/いく,0,3
のです,のです,のだ,助動詞,*,NIL,0,3
。,。,。,特殊,句点,NIL,0,3
どこ,どこ,どこ,指示詞,名詞形態指示詞,代表表記:どこ/どこ,0,4
か,か,か,助詞,接続助詞,NIL,0,4
の,の,の,助詞,接続助詞,NIL,0,4
国,くに,国,名詞,普通名詞,代表表記:国/くに ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 地名末尾,0,4
の,の,の,助詞,接続助詞,NIL,0,4
新がた,しんがた,新がた,名詞,普通名詞,代表表記:新型/しんがた カテゴリ:抽象物,0,4
の,の,の,助詞,接続助詞,NIL,0,4
偵察,ていさつ,偵察,名詞,サ変名詞,代表表記:偵察/ていさつ カテゴリ:抽象物,0,4
飛行機,ひこうき,飛行機,名詞,普通名詞,代表表記:飛行機/ひこうき ドメイン:交通 カテゴリ:人工物-乗り物,0,4
で,で,だ,判定詞,*,NIL,0,4
は,は,は,助詞,副助詞,NIL,0,4
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,4
か,か,か,助詞,接続助詞,NIL,0,4
と,と,と,助詞,格助詞,NIL,0,4
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,4
