見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
れる,れる,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,3
ほど,ほど,ほど,名詞,副詞的名詞,代表表記:程/ほど,0,3
で,で,だ,判定詞,*,NIL,0,3
ございます,ございます,ございます,接尾辞,動詞性接尾辞,代表表記:御座います/ございます,0,3
。,。,。,特殊,句点,NIL,0,3
門野,門野,門野,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,0,4
家,か,家,接尾辞,名詞性名詞接尾辞,代表表記:家/か カテゴリ:人 内容語,0,4
へ,へ,へ,助詞,格助詞,NIL,0,4
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,0,4
が,が,が,助詞,格助詞,NIL,0,4
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,4
嫁入り,よめいり,嫁入り,名詞,サ変名詞,代表表記:嫁入り/よめいり ドメイン:家庭・暮らし カテゴリ:抽象物,0,4
を,を,を,助詞,格助詞,NIL,0,4
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,4
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,4
の,の,の,名詞,形式名詞,NIL,0,4
は,は,は,助詞,副助詞,NIL,0,4
、,、,、,特殊,読点,NIL,0,4
どうした,どうした,どうした,指示詞,連体詞形態指示詞,NIL,0,4
御,ご,御,接頭辞,名詞接頭辞,代表表記:御/お,0,4
