見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
とうさん,とうさん,とうさん,名詞,サ変名詞,代表表記:倒産/とうさん ドメイン:ビジネス カテゴリ:抽象物,動く映画館,0,3
に,に,に,助詞,格助詞,NIL,動く映画館,0,3
ボクシング,ぼくしんぐ,ボクシング,名詞,普通名詞,代表表記:ボクシング/ぼくしんぐ ドメイン:スポーツ カテゴリ:抽象物,動く映画館,0,3
を,を,を,助詞,格助詞,NIL,動く映画館,0,3
ならって,ならって,ならう,動詞,*,代表表記:倣う/ならう,動く映画館,0,3
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,動く映画館,0,3
ので,ので,のだ,助動詞,*,NIL,動く映画館,0,3
、,、,、,特殊,読点,NIL,動く映画館,0,3
だれ,だれ,だれ,名詞,普通名詞,代表表記:誰/だれ カテゴリ:人,動く映画館,0,3
に,に,に,助詞,格助詞,NIL,動く映画館,0,3
も,も,も,助詞,副助詞,NIL,動く映画館,0,3
負け,まけ,負ける,動詞,*,代表表記:負ける/まける 反義:動詞:勝つ/かつ 自他動詞:他:負かす/まかす;他:負かせる/まかせる,動く映画館,0,3
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,動く映画館,0,3
ん,ん,ぬ,助動詞,*,NIL,動く映画館,0,3
。,。,。,特殊,句点,NIL,動く映画館,0,3
野呂,のろ,野呂,名詞,人名,人名:日本:姓:1232:0.00015,動く映画館,0,4
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,動く映画館,0,4
は,は,は,助詞,副助詞,NIL,動く映画館,0,4
井上,いのうえ,井上,名詞,人名,人名:日本:姓:17:0.00485,動く映画館,0,4
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,動く映画館,0,4
に,に,に,助詞,格助詞,NIL,動く映画館,0,4
くらべる,くらべる,くらべる,動詞,*,代表表記:比べる/くらべる,動く映画館,0,4
と,と,と,助詞,格助詞,NIL,動く映画館,0,4
、,、,、,特殊,読点,NIL,動く映画館,0,4
ぐっと,ぐっと,ぐっと,副詞,*,代表表記:グッと/ぐっと スル接続可能,動く映画館,0,4
から,から,から,助詞,格助詞,NIL,動く映画館,0,4
だ,だ,だ,判定詞,*,NIL,動く映画館,0,4
が,が,が,助詞,接続助詞,NIL,動く映画館,0,4
小さく,ちいさく,小さい,形容詞,*,代表表記:小さい/ちいさい 反義:形容詞:大きい/おおきい,動く映画館,0,4
、,、,、,特殊,読点,NIL,動く映画館,0,4
なかなか,なかなか,なかなか,副詞,*,代表表記:なかなか/なかなか 修飾（ニ格）,動く映画館,0,4
チャメスケ,チャメスケ,チャメスケ,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,動く映画館,0,4
です,です,だ,判定詞,*,NIL,動く映画館,0,4
。,。,。,特殊,句点,NIL,動く映画館,0,4
ノロ,のろ,ノロ,名詞,普通名詞,代表表記:ノロ/のろ 自動獲得:テキスト 副詞識別,動く映画館,0,5
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,動く映画館,0,5
と,と,と,助詞,格助詞,NIL,動く映画館,0,5
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,動く映画館,0,5
あだな,あだな,あだな,名詞,普通名詞,代表表記:徒名/あだな カテゴリ:抽象物,動く映画館,0,5
で,で,で,助詞,格助詞,NIL,動く映画館,0,5
とおって,とおって,とおる,動詞,*,代表表記:通る/とおる 自他動詞:他:通す/とおす,動く映画館,0,5
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,動く映画館,0,5
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,動く映画館,0,5
。,。,。,特殊,句点,NIL,動く映画館,0,5
そういうふうに,そういうふうに,そういうふうに,指示詞,副詞形態指示詞,NIL,動く映画館,0,6
、,、,、,特殊,読点,NIL,動く映画館,0,6
からだ,からだ,からだ,名詞,普通名詞,代表表記:体/からだ カテゴリ:動物 漢字読み:訓,動く映画館,0,6
の,の,の,助詞,接続助詞,NIL,動く映画館,0,6
かっこう,かっこう,かっこう,名詞,サ変名詞,代表表記:滑降/かっこう ドメイン:スポーツ カテゴリ:抽象物,動く映画館,0,6
も,も,も,助詞,副助詞,NIL,動く映画館,0,6
、,、,、,特殊,読点,NIL,動く映画館,0,6
性質,せいしつ,性質,名詞,普通名詞,代表表記:性質/せいしつ カテゴリ:抽象物,動く映画館,0,6
も,も,も,助詞,副助詞,NIL,動く映画館,0,6
ちがって,ちがって,ちがう,動詞,*,代表表記:違う/ちがう 反義:形容詞:同じだ/おなじだ 自他動詞:他:違える/ちがえる 付属動詞候補（基本）,動く映画館,0,6
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,動く映画館,0,6
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,動く映画館,0,6
けれども,けれども,けれども,助詞,接続助詞,NIL,動く映画館,0,6
、,、,、,特殊,読点,NIL,動く映画館,0,6
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,動く映画館,0,6
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,動く映画館,0,6
は,は,は,助詞,副助詞,NIL,動く映画館,0,6
大の,だいの,大の,連体詞,*,代表表記:大の/だいの,動く映画館,0,6
なかよし,なかよし,なかよし,名詞,普通名詞,代表表記:仲良し/なかよし カテゴリ:抽象物,動く映画館,0,6
でした,でした,だ,判定詞,*,NIL,動く映画館,0,6
。,。,。,特殊,句点,NIL,動く映画館,0,6
「,「,「,特殊,括弧始,NIL,動く映画館,0,7
おやっ,おや,おや,感動詞,*,代表表記:おや/おや 非標準表記:DHL,動く映画館,0,7
、,、,、,特殊,読点,NIL,動く映画館,0,7
あれ,あれ,あれ,指示詞,名詞形態指示詞,NIL,動く映画館,0,7
、,、,、,特殊,読点,NIL,動く映画館,0,7
なん,なん,なん,名詞,数詞,カテゴリ:数量,動く映画館,0,7
だろう,だろう,だ,判定詞,*,NIL,動く映画館,0,7
。,。,。,特殊,句点,NIL,動く映画館,0,7
へんな,へんな,へんだ,形容詞,*,代表表記:変だ/へんだ,動く映画館,0,8
紙,かみ,紙,名詞,普通名詞,代表表記:紙/かみ カテゴリ:人工物-その他 漢字読み:訓,動く映画館,0,8
しばい,しばい,しばい,名詞,サ変名詞,代表表記:芝居/しばい ドメイン:文化・芸術 カテゴリ:抽象物,動く映画館,0,8
だ,だ,だ,判定詞,*,NIL,動く映画館,0,8
ねえ,ねえ,ねえ,助詞,終助詞,NIL,動く映画館,0,8
