見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
足跡,あしあと,足跡,名詞,普通名詞,代表表記:足跡/あしあと カテゴリ:人工物-その他,< 章なし >,0,45
さえ,さえ,さえ,助詞,副助詞,NIL,< 章なし >,0,45
も,も,も,助詞,副助詞,NIL,< 章なし >,0,45
ついて,ついて,つく,動詞,*,代表表記:付く/つく 自他動詞:他:付ける/つける 補文ト 付属動詞候補（基本）,< 章なし >,0,45
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,45
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,45
のだ,のだ,のだ,助動詞,*,NIL,< 章なし >,0,45
。,。,。,特殊,句点,NIL,< 章なし >,0,45
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,46
に,に,に,助詞,格助詞,NIL,< 章なし >,0,46
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,46
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,< 章なし >,0,46
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,46
巡査,じゅんさ,巡査,名詞,普通名詞,代表表記:巡査/じゅんさ カテゴリ:人 人名末尾,< 章なし >,0,46
が,が,が,助詞,格助詞,NIL,< 章なし >,0,46
立番,立番,立番,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,46
を,を,を,助詞,格助詞,NIL,< 章なし >,0,46
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,46
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,46
。,。,。,特殊,句点,NIL,< 章なし >,0,46
野次馬,やじうま,野次馬,名詞,普通名詞,代表表記:野次馬/やじうま カテゴリ:人,< 章なし >,0,47
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,47
為,ため,為,名詞,副詞的名詞,代表表記:為/ため,< 章なし >,0,47
に,に,に,助詞,格助詞,NIL,< 章なし >,0,47
証拠,しょうこ,証拠,名詞,普通名詞,代表表記:証拠/しょうこ ドメイン:政治 カテゴリ:抽象物,< 章なし >,0,47
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,47
靴跡,靴跡,靴跡,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,47
を,を,を,助詞,格助詞,NIL,< 章なし >,0,47
乱さ,みださ,乱す,動詞,*,代表表記:乱す/みだす 自他動詞:自:乱れる/みだれる,< 章なし >,0,47
れ,れ,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,< 章なし >,0,47
まい,まい,まい,助動詞,*,NIL,< 章なし >,0,47
用心,ようじん,用心,名詞,サ変名詞,代表表記:用心/ようじん カテゴリ:抽象物,< 章なし >,0,47
であろう,であろう,だ,判定詞,*,NIL,< 章なし >,0,47
。,。,。,特殊,句点,NIL,< 章なし >,0,47
「,「,「,特殊,括弧始,NIL,< 章なし >,0,48
型,かた,型,名詞,普通名詞,代表表記:型/かた カテゴリ:人工物-その他 漢字読み:訓,< 章なし >,0,48
を,を,を,助詞,格助詞,NIL,< 章なし >,0,48
取って,とって,取る,動詞,*,代表表記:取る/とる 自他動詞:自:取れる/とれる 付属動詞候補（基本）,< 章なし >,0,48
較べて,較べて,較べる,動詞,*,代表表記:較べる/較べる 自動獲得:テキスト,< 章なし >,0,48
見た,みた,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,< 章なし >,0,48
が,が,が,助詞,接続助詞,NIL,< 章なし >,0,48
、,、,、,特殊,読点,NIL,< 章なし >,0,48
無論,むろん,無論,副詞,*,代表表記:無論/むろん,< 章なし >,0,48
これ,これ,これ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,48
は,は,は,助詞,副助詞,NIL,< 章なし >,0,48
ドア,どあ,ドア,名詞,普通名詞,代表表記:ドア/どあ カテゴリ:場所-施設,< 章なし >,0,48
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,48
内側,うちがわ,内側,名詞,普通名詞,代表表記:内側/うちがわ カテゴリ:場所-機能,< 章なし >,0,48
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,48
もの,もの,もの,名詞,形式名詞,NIL,< 章なし >,0,48
と,と,と,助詞,格助詞,NIL,< 章なし >,0,48
寸分,すんぶん,寸分,名詞,普通名詞,代表表記:寸分/すんぶん カテゴリ:数量,< 章なし >,0,48
違わ,ちがわ,違う,動詞,*,代表表記:違う/ちがう 反義:形容詞:同じだ/おなじだ 自他動詞:他:違える/ちがえる 付属動詞候補（基本）,< 章なし >,0,48
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,48
のです,のです,のだ,助動詞,*,NIL,< 章なし >,0,48
。,。,。,特殊,句点,NIL,< 章なし >,0,48
犯人,はんにん,犯人,名詞,普通名詞,代表表記:犯人/はんにん ドメイン:政治 カテゴリ:人,< 章なし >,0,49
は,は,は,助詞,副助詞,NIL,< 章なし >,0,49
ここ,ここ,ここ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,49
から,から,から,助詞,格助詞,NIL,< 章なし >,0,49
入って,はいって,入る,動詞,*,代表表記:入る/はいる 反義:動詞:出る/でる 自他動詞:他:入れる/いれる,< 章なし >,0,49
、,、,、,特殊,読点,NIL,< 章なし >,0,49
ここ,ここ,ここ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,49
から,から,から,助詞,格助詞,NIL,< 章なし >,0,49
帰って,かえって,帰る,動詞,*,代表表記:帰る/かえる 反義:動詞:行く/いく;動詞:来る/くる 自他動詞:他:帰す/かえす,< 章なし >,0,49
行った,いった,行く,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,< 章なし >,0,49
のです,のです,のだ,助動詞,*,NIL,< 章なし >,0,49
。,。,。,特殊,句点,NIL,< 章なし >,0,49
ところで,ところで,ところで,接続詞,*,代表表記:ところで/ところで,< 章なし >,0,50
、,、,、,特殊,読点,NIL,< 章なし >,0,50
我々,われわれ,我々,名詞,普通名詞,代表表記:我々/われわれ カテゴリ:人,< 章なし >,0,50
は,は,は,助詞,副助詞,NIL,< 章なし >,0,50
この,この,この,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,50
靴,くつ,靴,名詞,普通名詞,代表表記:靴/くつ ドメイン:家庭・暮らし カテゴリ:人工物-衣類 漢字読み:訓,< 章なし >,0,50
跡,あと,跡,名詞,普通名詞,代表表記:跡/あと カテゴリ:場所-その他;形・模様 漢字読み:訓,< 章なし >,0,50
を,を,を,助詞,格助詞,NIL,< 章なし >,0,50
追って,おって,追う,動詞,*,代表表記:追う/おう,< 章なし >,0,50
、,、,、,特殊,読点,NIL,< 章なし >,0,50
半丁,半丁,半丁,名詞,地名,代表表記:半丁/半丁 地名:日本 DEV:body1,< 章なし >,0,50
ばかり,ばかり,ばかり,助詞,副助詞,NIL,< 章なし >,0,50
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,< 章なし >,0,50
見,み,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,< 章なし >,0,50
なければ,なければ,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,50
なり,なり,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,< 章なし >,0,50
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,< 章なし >,0,50
ん,ん,ぬ,助動詞,*,NIL,< 章なし >,0,50
」,」,」,特殊,括弧終,NIL,< 章なし >,0,50
「,「,「,特殊,括弧始,NIL,< 章なし >,0,50
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,50
に,に,に,助詞,格助詞,NIL,< 章なし >,0,50
