見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
藩主,はんしゅ,藩主,名詞,普通名詞,代表表記:藩主/はんしゅ ドメイン:政治 カテゴリ:人,< 章なし >,0,1
Ｍ,Ｍ,Ｍ,特殊,記号,NIL,< 章なし >,0,1
伯爵,はくしゃく,伯爵,名詞,普通名詞,代表表記:伯爵/はくしゃく ドメイン:政治 カテゴリ:人 人名末尾,< 章なし >,0,1
邸,てい,邸,名詞,普通名詞,代表表記:邸/てい カテゴリ:場所-施設 漢字読み:音 人名末尾外,< 章なし >,0,1
の,の,の,助詞,格助詞,NIL,< 章なし >,0,1
小使,小使,小使,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,1
みたいな,みたいな,みたいだ,助動詞,*,NIL,< 章なし >,0,1
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
勤めて,つとめて,勤める,動詞,*,代表表記:勤める/つとめる ドメイン:ビジネス 自他動詞:自:勤まる/つとまる,< 章なし >,0,1
かつかつ,かつかつ,かつかつ,副詞,*,自動認識 未知語:擬音語擬態語 する連続可能,< 章なし >,0,1
其日,其日,其日,未定義語,その他,未知語:漢字 品詞推定:名詞,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
送って,おくって,送る,動詞,*,代表表記:送る/おくる 反義:動詞:迎える/むかえる,< 章なし >,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
五十,五十,五十,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,1
を,を,を,助詞,格助詞,NIL,< 章なし >,0,1
越した,こした,越す,動詞,*,代表表記:越す/こす,< 章なし >,0,1
父親,ちちおや,父親,名詞,普通名詞,代表表記:父親/ちちおや ドメイン:家庭・暮らし カテゴリ:人,< 章なし >,0,1
の,の,の,助詞,格助詞,NIL,< 章なし >,0,1
厄介に,やっかいに,厄介だ,形容詞,*,代表表記:厄介だ/やっかいだ,< 章なし >,0,1
なって,なって,なる,接尾辞,動詞性接尾辞,代表表記:なる/なる,< 章なし >,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,1
の,の,の,名詞,形式名詞,NIL,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
、,、,、,特殊,読点,NIL,< 章なし >,0,1
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,< 章なし >,0,1
に,に,に,助詞,格助詞,NIL,< 章なし >,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,1
も,も,も,助詞,副助詞,NIL,< 章なし >,0,1
決して,けっして,決して,副詞,*,代表表記:決して/けっして,< 章なし >,0,1
快い,こころよい,快い,形容詞,*,代表表記:快い/こころよい,< 章なし >,0,1
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,1
で,で,だ,判定詞,*,NIL,< 章なし >,0,1
は,は,は,助詞,副助詞,NIL,< 章なし >,0,1
なかった,なかった,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,1
。,。,。,特殊,句点,NIL,< 章なし >,0,1
どうか,どうか,どうか,副詞,*,代表表記:どうか/どうか スル接続可能,< 章なし >,0,2
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,2
勤め,つとめ,勤め,名詞,普通名詞,代表表記:勤め/つとめv ドメイン:ビジネス 自他動詞:自:勤まる/つとまる 連用形名詞化:勤める/つとめる,< 章なし >,0,2
口,くち,口,名詞,普通名詞,代表表記:口/くち カテゴリ:動物-部位;抽象物;形・模様 漢字読み:訓,< 章なし >,0,2
を,を,を,助詞,格助詞,NIL,< 章なし >,0,2
