見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
顔ぶれ,かおぶれ,顔ぶれ,名詞,普通名詞,代表表記:顔触れ/かおぶれ カテゴリ:人,きもだめしの会,0,2
が,が,が,助詞,格助詞,NIL,きもだめしの会,0,2
ちがう,ちがう,ちがう,動詞,*,代表表記:違う/ちがう 反義:形容詞:同じだ/おなじだ 自他動詞:他:違える/ちがえる 付属動詞候補（基本）,きもだめしの会,0,2
のです,のです,のだ,助動詞,*,NIL,きもだめしの会,0,2
。,。,。,特殊,句点,NIL,きもだめしの会,0,2
みんな,みんな,みんな,副詞,*,代表表記:皆/みんな 修飾（デ格）,きもだめしの会,0,3
学生,がくせい,学生,名詞,普通名詞,代表表記:学生/がくせい ドメイン:教育・学習 カテゴリ:人,きもだめしの会,0,3
です,です,だ,判定詞,*,NIL,きもだめしの会,0,3
から,から,から,助詞,接続助詞,NIL,きもだめしの会,0,3
、,、,、,特殊,読点,NIL,きもだめしの会,0,3
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,きもだめしの会,0,3
の,の,の,助詞,格助詞,NIL,きもだめしの会,0,3
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,きもだめしの会,0,3
時間,じかん,時間,名詞,時相名詞,代表表記:時間/じかん カテゴリ:時間,きもだめしの会,0,3
に,に,に,助詞,格助詞,NIL,きもだめしの会,0,3
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,3
、,、,、,特殊,読点,NIL,きもだめしの会,0,3
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,きもだめしの会,0,3
の,の,の,助詞,接続助詞,NIL,きもだめしの会,0,3
はたらき,はたらき,はたらき,名詞,普通名詞,代表表記:働き/はたらきv ドメイン:家庭・暮らし;ビジネス 連用形名詞化:働く/はたらく,きもだめしの会,0,3
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,3
でき,でき,できる,動詞,*,代表表記:出来る/できる,きもだめしの会,0,3
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,きもだめしの会,0,3
ん,ん,ぬ,助動詞,*,NIL,きもだめしの会,0,3
。,。,。,特殊,句点,NIL,きもだめしの会,0,3
また,また,また,副詞,*,代表表記:又/また,きもだめしの会,0,4
、,、,、,特殊,読点,NIL,きもだめしの会,0,4
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,きもだめしの会,0,4
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,きもだめしの会,0,4
で,で,で,助詞,格助詞,NIL,きもだめしの会,0,4
勉強,べんきょう,勉強,名詞,サ変名詞,代表表記:勉強/べんきょう ドメイン:教育・学習 カテゴリ:抽象物,きもだめしの会,0,4
も,も,も,助詞,副助詞,NIL,きもだめしの会,0,4
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,きもだめしの会,0,4
なければ,なければ,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,きもだめしの会,0,4
なり,なり,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,きもだめしの会,0,4
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,きもだめしの会,0,4
ん,ん,ぬ,助動詞,*,NIL,きもだめしの会,0,4
。,。,。,特殊,句点,NIL,きもだめしの会,0,4
ですから,ですから,ですから,接続詞,*,代表表記:ですから/ですから,きもだめしの会,0,5
、,、,、,特殊,読点,NIL,きもだめしの会,0,5
