見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
のです,のです,のだ,助動詞,*,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
マユミ,マユミ,マユミ,名詞,普通名詞,代表表記:マユミ/マユミ 自動獲得:Wikipedia Wikipedia上位語:木本/きもと,0,3
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,3
に,に,に,助詞,格助詞,NIL,0,3
つれ,つれ,つれる,動詞,*,代表表記:吊れる/つれる 可能動詞:吊る/つる,0,3
られて,られて,られる,接尾辞,動詞性接尾辞,代表表記:られる/られる,0,3
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,3
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,0,3
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,3
の,の,の,助詞,接続助詞,NIL,0,3
少女,しょうじょ,少女,名詞,普通名詞,代表表記:少女/しょうじょ カテゴリ:人,0,3
は,は,は,助詞,副助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
淡谷,淡谷,淡谷,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,0,3
スミ子,スミ子,スミ子,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia上位語:グッズキャラクター Wikipedia人名,0,3
と,と,と,助詞,格助詞,NIL,0,3
森下,もりした,森下,名詞,人名,人名:日本:姓:215:0.00122,0,3
トシ子,トシ子,トシ子,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,0,3
と,と,と,助詞,格助詞,NIL,0,3
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,3
、,、,、,特殊,読点,NIL,0,3
おなじ,おなじ,おなじだ,形容詞,*,代表表記:同じだ/おなじだ 反義:動詞:違う/ちがう,0,3
中学,ちゅうがく,中学,名詞,普通名詞,代表表記:中学/ちゅうがく ドメイン:教育・学習 カテゴリ:組織・団体;場所-施設 組織名末尾,0,3
の,の,の,助詞,接続助詞,NIL,0,3
同,どう,同,接頭辞,名詞接頭辞,代表表記:同/どう 内容語,0,3
級,きゅう,級,名詞,普通名詞,代表表記:級/きゅう カテゴリ:抽象物 漢字読み:音,0,3
生,せい,生,名詞,普通名詞,代表表記:生/せい カテゴリ:抽象物 漢字読み:音,0,3
で,で,だ,判定詞,*,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
淡谷,淡谷,淡谷,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,0,3
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,3
の,の,の,助詞,接続助詞,NIL,0,3
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,3
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,3
が,が,が,助詞,格助詞,NIL,0,3
この,この,この,指示詞,連体詞形態指示詞,NIL,0,3
近く,ちかく,近く,名詞,普通名詞,代表表記:近く/ちかく カテゴリ:場所-機能;時間 反義:名詞-普通名詞:遠く/とおく 形容詞派生:近い/ちかい,0,3
に,に,に,助詞,格助詞,NIL,0,3
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,3
ので,ので,のだ,助動詞,*,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
きょう,きょう,きょう,名詞,時相名詞,代表表記:今日/きょう カテゴリ:時間,0,3
は,は,は,助詞,副助詞,NIL,0,3
マユミ,マユミ,マユミ,名詞,普通名詞,代表表記:マユミ/マユミ 自動獲得:Wikipedia Wikipedia上位語:木本/きもと,0,3
ねえ,ねえ,ねえ,助詞,終助詞,NIL,0,3
