見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,3
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,3
ん,ん,ぬ,助動詞,*,NIL,0,3
。,。,。,特殊,句点,NIL,0,3
正面,しょうめん,正面,名詞,普通名詞,代表表記:正面/しょうめん カテゴリ:場所-機能,0,4
に,に,に,助詞,格助詞,NIL,0,4
小さな,ちいさな,小さな,連体詞,*,代表表記:小さな/ちいさな 反義:連体詞:大きな/おおきな 形容詞派生:小さい/ちいさい,0,4
入口,いりぐち,入口,名詞,普通名詞,代表表記:入り口/いりぐち カテゴリ:場所-その他,0,4
が,が,が,助詞,格助詞,NIL,0,4
あって,あって,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,4
、,、,、,特殊,読点,NIL,0,4
その,その,その,指示詞,連体詞形態指示詞,NIL,0,4
入口,いりぐち,入口,名詞,普通名詞,代表表記:入り口/いりぐち カテゴリ:場所-その他,0,4
の,の,の,助詞,接続助詞,NIL,0,4
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,0,4
に,に,に,助詞,格助詞,NIL,0,4
「,「,「,特殊,括弧始,NIL,0,4
中曾,中曾,中曾,未定義語,その他,未知語:漢字 品詞推定:名詞,0,4
夫人,ふじん,夫人,名詞,普通名詞,代表表記:夫人/ふじん ドメイン:家庭・暮らし カテゴリ:人,0,4
ロウ,ろう,ロウ,名詞,普通名詞,代表表記:蝋/ろう カテゴリ:人工物-その他,0,4
人形,にんぎょう,人形,名詞,普通名詞,代表表記:人形/にんぎょう ドメイン:家庭・暮らし カテゴリ:人工物-その他,0,4
館,かん,館,名詞,普通名詞,代表表記:館/かん カテゴリ:場所-施設 漢字読み:音,0,4
」,」,」,特殊,括弧終,NIL,0,4
と,と,と,助詞,格助詞,NIL,0,4
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,4
かんばん,かんばん,かんばん,名詞,普通名詞,代表表記:看板/かんばん カテゴリ:人工物-その他 〜を〜に構成語,0,4
が,が,が,助詞,格助詞,NIL,0,4
かかって,かかって,かかる,動詞,*,代表表記:係る/かかる 名詞派生:係/かかり,0,4
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,4
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,4
。,。,。,特殊,句点,NIL,0,4
イギリス,いぎりす,イギリス,名詞,地名,代表表記:イギリス/いぎりす 地名:国:別称:英国,0,5
の,の,の,助詞,接続助詞,NIL,0,5
ロンドン,ろんどん,ロンドン,名詞,地名,代表表記:ロンドン/ろんどん 地名:国:英国:首都,0,5
に,に,に,助詞,格助詞,NIL,0,5
タッソー,タッソー,タッソー,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,0,5
夫人,ふじん,夫人,名詞,普通名詞,代表表記:夫人/ふじん ドメイン:家庭・暮らし カテゴリ:人,0,5
の,の,の,助詞,接続助詞,NIL,0,5
ロウ,ろう,ロウ,名詞,普通名詞,代表表記:蝋/ろう カテゴリ:人工物-その他,0,5
人形,にんぎょう,人形,名詞,普通名詞,代表表記:人形/にんぎょう ドメイン:家庭・暮らし カテゴリ:人工物-その他,0,5
館,かん,館,名詞,普通名詞,代表表記:館/かん カテゴリ:場所-施設 漢字読み:音,0,5
と,と,と,助詞,格助詞,NIL,0,5
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,0,5
の,の,の,名詞,形式名詞,NIL,0,5
が,が,が,助詞,格助詞,NIL,0,5
あって,あって,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,5
、,、,、,特殊,読点,NIL,0,5
世界,せかい,世界,名詞,普通名詞,代表表記:世界/せかい カテゴリ:場所-その他,0,5
じゅう,じゅう,じゅう,名詞,普通名詞,代表表記:住/じゅう ドメイン:家庭・暮らし カテゴリ:抽象物 漢字読み:音,0,5
に,に,に,助詞,格助詞,NIL,0,5
知ら,しら,知る,動詞,*,代表表記:知る/しる 自他動詞:自:知れる/しれる 補文ト,0,5
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,0,5
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,5
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,5
。,。,。,特殊,句点,NIL,0,5
この,この,この,指示詞,連体詞形態指示詞,NIL,0,6
不忍池,しのばずのいけ,不忍池,名詞,地名,自動獲得:Wikipedia Wikipedia地名,0,6
の,の,の,助詞,接続助詞,NIL,0,6
ロウ,ろう,ロウ,名詞,普通名詞,代表表記:蝋/ろう カテゴリ:人工物-その他,0,6
人形,にんぎょう,人形,名詞,普通名詞,代表表記:人形/にんぎょう ドメイン:家庭・暮らし カテゴリ:人工物-その他,0,6
館,かん,館,名詞,普通名詞,代表表記:館/かん カテゴリ:場所-施設 漢字読み:音,0,6
は,は,は,助詞,副助詞,NIL,0,6
、,、,、,特殊,読点,NIL,0,6
それ,それ,それ,指示詞,名詞形態指示詞,NIL,0,6
を,を,を,助詞,格助詞,NIL,0,6
まねた,まねた,まねる,動詞,*,代表表記:真似る/まねる,0,6
もの,もの,もの,名詞,形式名詞,NIL,0,6
な,な,だ,判定詞,*,NIL,0,6
のです,のです,のだ,助動詞,*,NIL,0,6
