見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
麹町,こうじまち,麹町,名詞,地名,自動獲得:Wikipedia Wikipedia多義 Wikipedia地名,0,2
に,に,に,助詞,格助詞,NIL,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
いま,いま,いま,名詞,時相名詞,代表表記:今/いま カテゴリ:時間 漢字読み:訓,0,2
でも,でも,でも,助詞,副助詞,NIL,0,2
焼けあと,やけあと,焼けあと,名詞,普通名詞,代表表記:焼け跡/やけあと カテゴリ:抽象物,0,2
の,の,の,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
ひろい,ひろい,ひろい,形容詞,*,代表表記:広い/ひろい 反義:形容詞:狭い/せまい,0,2
原っぱ,はらっぱ,原っぱ,名詞,普通名詞,代表表記:原っぱ/はらっぱ カテゴリ:場所-自然,0,2
が,が,が,助詞,格助詞,NIL,0,2
のこって,のこって,のこる,動詞,*,代表表記:残る/のこる 自他動詞:他:残す/のこす,0,2
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,2
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,2
。,。,。,特殊,句点,NIL,0,2
かたがわ,かたがわ,かたがわ,名詞,普通名詞,代表表記:片側/かたがわ カテゴリ:場所-機能,0,3
は,は,は,助詞,副助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
草,くさ,草,名詞,普通名詞,代表表記:草/くさ カテゴリ:植物 漢字読み:訓,0,3
の,の,の,助詞,格助詞,NIL,0,3
はえ,はえ,はえ,名詞,普通名詞,代表表記:栄え/はえ カテゴリ:抽象物,0,3
しげった,しげった,しげる,動詞,*,代表表記:茂る/しげる,0,3
原っぱ,はらっぱ,原っぱ,名詞,普通名詞,代表表記:原っぱ/はらっぱ カテゴリ:場所-自然,0,3
、,、,、,特殊,読点,NIL,0,3
かたがわ,かたがわ,かたがわ,名詞,普通名詞,代表表記:片側/かたがわ カテゴリ:場所-機能,0,3
は,は,は,助詞,副助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
百,ひゃく,百,名詞,数詞,カテゴリ:数量,0,3
メートル,めーとる,メートル,接尾辞,名詞性名詞助数辞,代表表記:メートル/めーとる 準内容語,0,3
も,も,も,助詞,副助詞,NIL,0,3
つづく,つづく,つづく,動詞,*,代表表記:続く/つづく 自他動詞:他:続ける/つづける,0,3
長い,ながい,長い,形容詞,*,代表表記:長い/ながい 反義:形容詞:短い/みじかい,0,3
コンクリート,こんくりーと,コンクリート,名詞,普通名詞,代表表記:コンクリート/こんくりーと カテゴリ:人工物-その他,0,3
べ,べ,べ,名詞,普通名詞,代表表記:経/へv 濁音化D 連用形名詞化:経る/へる,0,3
い,い,い,接尾辞,形容詞性名詞接尾辞,代表表記:い/い,0,3
。,。,。,特殊,句点,NIL,0,3
もう,もう,もう,副詞,*,代表表記:もう/もう 数量修飾,0,4
、,、,、,特殊,読点,NIL,0,4
うすぐらく,うすぐらく,うすぐらい,形容詞,*,代表表記:薄暗い/うすぐらい,0,4
なった,なった,なる,接尾辞,動詞性接尾辞,代表表記:なる/なる,0,4
その,その,その,指示詞,連体詞形態指示詞,NIL,0,4
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,0,4
に,に,に,助詞,格助詞,NIL,0,4
は,は,は,助詞,副助詞,NIL,0,4
、,、,、,特殊,読点,NIL,0,4
まったく,まったく,まったく,副詞,*,代表表記:全く/まったく,0,4
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,0,4
どおり,どおり,どおり,接尾辞,名詞性名詞接尾辞,代表表記:通り/どおり カテゴリ:抽象物 内容語,0,4
が,が,が,助詞,格助詞,NIL,0,4
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,4
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,4
ん,ん,ぬ,助動詞,*,NIL,0,4
