見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,8,15
の,の,の,助詞,接続助詞,NIL,8,15
男の子,おとこのこ,男の子,名詞,普通名詞,代表表記:男の子/おとこのこ ドメイン:家庭・暮らし カテゴリ:人,8,15
と,と,と,助詞,格助詞,NIL,8,15
女の子,おんなのこ,女の子,名詞,普通名詞,代表表記:女の子/おんなのこ ドメイン:家庭・暮らし カテゴリ:人,8,15
が,が,が,助詞,格助詞,NIL,8,15
、,、,、,特殊,読点,NIL,8,15
もう,もう,もう,副詞,*,代表表記:もう/もう 数量修飾,8,15
身,み,身,名詞,普通名詞,代表表記:身/み カテゴリ:動物-部位 漢字読み:訓,8,15
うごき,うごき,うごき,名詞,普通名詞,代表表記:動き/うごきv 反義:動詞:止まる/とまる 自他動詞:他:動かす/うごかす 連用形名詞化:動く/うごく,8,15
も,も,も,助詞,副助詞,NIL,8,15
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,8,15
ないで,ないで,ぬ,助動詞,*,NIL,8,15
、,、,、,特殊,読点,NIL,8,15
一,いち,一,名詞,数詞,カテゴリ:数量,8,15
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,8,15
ところ,ところ,ところ,名詞,副詞的名詞,代表表記:ところ/ところ,8,15
を,を,を,助詞,格助詞,NIL,8,15
、,、,、,特殊,読点,NIL,8,15
みつめて,みつめて,みつめる,動詞,*,代表表記:見詰める/みつめる,8,15
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,8,15
のです,のです,のだ,助動詞,*,NIL,8,15
。,。,。,特殊,句点,NIL,8,15
いま,いま,いま,名詞,時相名詞,代表表記:今/いま カテゴリ:時間 漢字読み:訓,8,16
まで,まで,まで,助詞,格助詞,NIL,8,16
、,、,、,特殊,読点,NIL,8,16
さわがしかった,さわがしかった,さわがしい,形容詞,*,代表表記:騒がしい/さわがしい,8,16
の,の,の,名詞,形式名詞,NIL,8,16
が,が,が,助詞,格助詞,NIL,8,16
、,、,、,特殊,読点,NIL,8,16
シーン,しーん,シーン,名詞,普通名詞,代表表記:シーン/しーん ドメイン:文化・芸術 カテゴリ:抽象物,8,16
と,と,と,助詞,格助詞,NIL,8,16
、,、,、,特殊,読点,NIL,8,16
しずまり,しずまり,しずまり,名詞,普通名詞,代表表記:鎮まり/しずまりv 自他動詞:他:鎮める/しずめる 連用形名詞化:鎮まる/しずまる,8,16
かえって,かえって,かえる,動詞,*,代表表記:孵る/かえる,8,16
、,、,、,特殊,読点,NIL,8,16
なんだか,なんだか,なんだか,副詞,*,代表表記:何だか/なんだか,8,16
、,、,、,特殊,読点,NIL,8,16
おそろしい,おそろしい,おそろしい,形容詞,*,代表表記:恐ろしい/おそろしい,8,16
ような,ような,ようだ,助動詞,*,NIL,8,16
感じ,かんじ,感じ,名詞,普通名詞,代表表記:感じ/かんじv 連用形名詞化:感じる/かんじる 補文ト,8,16
でした,でした,だ,判定詞,*,NIL,8,16
。,。,。,特殊,句点,NIL,8,16
「,「,「,特殊,括弧始,NIL,8,17
やあ,やあ,やあ,感動詞,*,代表表記:やあ/やあ,8,17
、,、,、,特殊,読点,NIL,8,17
なんだか,なんだか,なんだか,副詞,*,代表表記:何だか/なんだか,8,17
、,、,、,特殊,読点,NIL,8,17
さがって,さがって,さがる,動詞,*,代表表記:下がる/さがる 自他動詞:他:下げる/さげる,8,17
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,8,17
よ,よ,よ,助詞,終助詞,NIL,8,17
。,。,。,特殊,句点,NIL,8,17
赤い,あかい,赤い,形容詞,*,代表表記:赤い/あかい 名詞派生:赤/あか,8,18
字,あざ,字,名詞,普通名詞,代表表記:字/あざ カテゴリ:抽象物 漢字読み:訓,8,18
だ,だ,だ,判定詞,*,NIL,8,18
よ,よ,よ,助詞,終助詞,NIL,8,18
」,」,」,特殊,括弧終,NIL,8,18
。,。,。,特殊,句点,NIL,8,18
「,「,「,特殊,括弧始,NIL,8,19
ふうせん,ふうせん,ふうせん,名詞,普通名詞,代表表記:風船/ふうせん カテゴリ:人工物-その他,8,19
だ,だ,だ,判定詞,*,NIL,8,19
。,。,。,特殊,句点,NIL,8,19
やあ,やあ,やあ,感動詞,*,代表表記:やあ/やあ,8,20
、,、,、,特殊,読点,NIL,8,20
銀色,ぎんいろ,銀色,名詞,普通名詞,代表表記:銀色/ぎんいろ カテゴリ:色,8,20
に,に,に,助詞,格助詞,NIL,8,20
光って,ひかって,光る,動詞,*,代表表記:光る/ひかる 名詞派生:光/ひかり,8,20
ら,ら,ら,接尾辞,名詞性名詞接尾辞,代表表記:ら/ら,8,20
あ,あ,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,8,20
、,、,、,特殊,読点,NIL,8,20
あれ,あれ,あれ,指示詞,名詞形態指示詞,NIL,8,20
、,、,、,特殊,読点,NIL,8,20
広告,こうこく,広告,名詞,サ変名詞,代表表記:広告/こうこく ドメイン:ビジネス;メディア カテゴリ:人工物-その他;抽象物,8,20
