見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
きて,きて,くる,接尾辞,動詞性接尾辞,代表表記:くる/くる,3,91
、,、,、,特殊,読点,NIL,3,91
その,その,その,指示詞,連体詞形態指示詞,NIL,3,91
なか,なか,なか,名詞,副詞的名詞,代表表記:中/なか,3,91
から,から,から,助詞,格助詞,NIL,3,91
、,、,、,特殊,読点,NIL,3,91
ピカピカ,ぴかぴか,ピカピカ,副詞,*,代表表記:ピカピカ/ぴかぴか スル接続可能,3,91
金色,きんいろ,金色,名詞,普通名詞,代表表記:金色/きんいろ カテゴリ:色,3,91
に,に,に,助詞,格助詞,NIL,3,91
光った,ひかった,光る,動詞,*,代表表記:光る/ひかる 名詞派生:光/ひかり,3,91
もの,もの,もの,名詞,形式名詞,NIL,3,91
を,を,を,助詞,格助詞,NIL,3,91
出して,だして,出す,動詞,*,代表表記:出す/だす 反義:動詞:隠す/かくす;動詞:入れる/いれる 自他動詞:自:出る/でる 補文ト 付属動詞候補（基本）,3,91
、,、,、,特殊,読点,NIL,3,91
テーブル,てーぶる,テーブル,名詞,普通名詞,代表表記:テーブル/てーぶる ドメイン:料理・食事 カテゴリ:人工物-その他,3,91
の,の,の,助詞,接続助詞,NIL,3,91
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,3,91
に,に,に,助詞,格助詞,NIL,3,91
おき,おき,おく,動詞,*,代表表記:置く/おく,3,91
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,3,91
。,。,。,特殊,句点,NIL,3,91
それ,それ,それ,指示詞,名詞形態指示詞,NIL,3,92
は,は,は,助詞,副助詞,NIL,3,92
、,、,、,特殊,読点,NIL,3,92
金色,きんいろ,金色,名詞,普通名詞,代表表記:金色/きんいろ カテゴリ:色,3,92
の,の,の,助詞,接続助詞,NIL,3,92
トラ,とら,トラ,名詞,普通名詞,代表表記:虎/とら カテゴリ:動物,3,92
が,が,が,助詞,格助詞,NIL,3,92
、,、,、,特殊,読点,NIL,3,92
あと,あと,あと,名詞,時相名詞,代表表記:後/あと カテゴリ:場所-機能;時間 漢字読み:訓 〜を〜に構成語 弱時相名詞 修飾（デ格） 数量修飾,3,92
足,あし,足,名詞,普通名詞,代表表記:足/あし カテゴリ:動物-部位 漢字読み:訓,3,92
を,を,を,助詞,格助詞,NIL,3,92
