見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
出,で,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,0,2
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,2
。,。,。,特殊,句点,NIL,0,2
その,その,その,指示詞,連体詞形態指示詞,NIL,0,3
かえり,かえり,かえり,名詞,普通名詞,代表表記:孵り/かえりv 連用形名詞化:孵る/かえる,0,3
道,どう,道,名詞,普通名詞,代表表記:道/どう ドメイン:交通 カテゴリ:組織・団体;場所-施設;場所-その他 漢字読み:音 多義,0,3
の,の,の,助詞,接続助詞,NIL,0,3
出来事,できごと,出来事,名詞,普通名詞,代表表記:出来事/できごと カテゴリ:抽象物,0,3
です,です,だ,判定詞,*,NIL,0,3
。,。,。,特殊,句点,NIL,0,3
「,「,「,特殊,括弧始,NIL,0,4
おや,おや,おや,感動詞,*,代表表記:おや/おや,0,4
、,、,、,特殊,読点,NIL,0,4
へんだ,へんだ,へんだ,形容詞,*,代表表記:変だ/へんだ,0,4
ね,ね,ね,助詞,終助詞,NIL,0,4
、,、,、,特殊,読点,NIL,0,4
こんな,こんな,こんな,指示詞,連体詞形態指示詞,NIL,0,4
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,0,4
、,、,、,特殊,読点,NIL,0,4
ぼく,ぼく,ぼく,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,0,4
一,いち,一,名詞,数詞,カテゴリ:数量,0,4
度,ど,度,接尾辞,名詞性名詞助数辞,代表表記:度/ど 準内容語,0,4
も,も,も,助詞,副助詞,NIL,0,4
通った,とおった,通る,動詞,*,代表表記:通る/とおる 自他動詞:他:通す/とおす,0,4
こと,こと,こと,名詞,形式名詞,NIL,0,4
が,が,が,助詞,格助詞,NIL,0,4
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,0,4
よ,よ,よ,助詞,終助詞,NIL,0,4
」,」,」,特殊,括弧終,NIL,0,4
。,。,。,特殊,句点,NIL,0,4
島田,しまだ,島田,名詞,人名,人名:日本:姓:103:0.00195,0,5
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,5
が,が,が,助詞,格助詞,NIL,0,5
ふしぎ,ふしぎ,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,0,5
そうに,そうに,そうだ,接尾辞,形容詞性述語接尾辞,代表表記:そうだ/そうだ,0,5
、,、,、,特殊,読点,NIL,0,5
あたり,あたり,あたり,名詞,普通名詞,代表表記:辺り/あたり カテゴリ:場所-機能;抽象物,0,5
を,を,を,助詞,格助詞,NIL,0,5
見まわ,みまわ,見まう,動詞,*,代表表記:見舞う/みまう ドメイン:家庭・暮らし;健康・医学,0,5
して,して,す,接尾辞,動詞性接尾辞,代表表記:す/す,0,5
、,、,、,特殊,読点,NIL,0,5
言い,いい,言う,動詞,*,代表表記:言う/いう 補文ト,0,5
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,5
。,。,。,特殊,句点,NIL,0,5
「,「,「,特殊,括弧始,NIL,0,6
ほんとだ,ほんとだ,ほんとだ,形容詞,*,代表表記:本当だ/ほんとうだ 反義:名詞-普通名詞:嘘/うそ,0,6
。,。,。,特殊,句点,NIL,0,6
ぼく,ぼく,ぼく,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,0,7
も,も,も,助詞,副助詞,NIL,0,7
通った,かよった,通う,動詞,*,代表表記:通う/かよう,0,7
こと,こと,こと,名詞,形式名詞,NIL,0,7
が,が,が,助詞,格助詞,NIL,0,7
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,0,7
よ,よ,よ,助詞,終助詞,NIL,0,7
。,。,。,特殊,句点,NIL,0,7
なんだか,なんだか,なんだか,副詞,*,代表表記:何だか/なんだか,0,8
、,、,、,特殊,読点,NIL,0,8
さびしい,さびしい,さびしい,形容詞,*,代表表記:寂しい/さびしい 反義:形容詞:賑やかだ/にぎやかだ,0,8
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,0,8
だ,だ,だ,判定詞,*,NIL,0,8
ね,ね,ね,助詞,終助詞,NIL,0,8
」,」,」,特殊,括弧終,NIL,0,8
。,。,。,特殊,句点,NIL,0,8
木下,きのした,木下,名詞,人名,人名:日本:姓:185:0.00137,0,9
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,9
も,も,も,助詞,副助詞,NIL,0,9
、,、,、,特殊,読点,NIL,0,9
へんな,へんな,へんだ,形容詞,*,代表表記:変だ/へんだ,0,9
顔,かお,顔,名詞,普通名詞,代表表記:顔/かお カテゴリ:動物-部位 漢字読み:訓,0,9
を,を,を,助詞,格助詞,NIL,0,9
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,9
、,、,、,特殊,読点,NIL,0,9
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,0,9
っこ,っこ,っこ,接尾辞,名詞性述語接尾辞,代表表記:っこ/っこ,0,9
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,0,9
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,9
い,い,いる,動詞,*,代表表記:射る/いる,0,9
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,9
、,、,、,特殊,読点,NIL,0,9
広い,ひろい,広い,形容詞,*,代表表記:広い/ひろい 反義:形容詞:狭い/せまい,0,9
大通り,おおどおり,大通り,名詞,普通名詞,代表表記:大通り/おおどおり ドメイン:交通 カテゴリ:場所-その他,0,9
を,を,を,助詞,格助詞,NIL,0,9
見まわ,みまわ,見まう,動詞,*,代表表記:見舞う/みまう ドメイン:家庭・暮らし;健康・医学,0,9
し,し,する,接尾辞,動詞性接尾辞,代表表記:する/する,0,9
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,9
。,。,。,特殊,句点,NIL,0,9
夕方,ゆうがた,夕方,名詞,時相名詞,代表表記:夕方/ゆうがた カテゴリ:時間,0,10
の,の,の,助詞,接続助詞,NIL,0,10
うす,うす,うす,名詞,普通名詞,代表表記:臼/うす ドメイン:料理・食事 カテゴリ:人工物-その他,0,10
ぼんやり,ぼんやり,ぼんやり,副詞,*,代表表記:ボンヤリ/ぼんやり スル接続可能,0,10
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,10
光,ひかり,光,名詞,普通名詞,代表表記:光/ひかり カテゴリ:抽象物 漢字読み:訓,0,10
の,の,の,助詞,接続助詞,NIL,0,10
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,0,10
に,に,に,助詞,格助詞,NIL,0,10
、,、,、,特殊,読点,NIL,0,10
一,いち,一,名詞,数詞,カテゴリ:数量,0,10
度,ど,度,接尾辞,名詞性名詞助数辞,代表表記:度/ど 準内容語,0,10
も,も,も,助詞,副助詞,NIL,0,10
見た,みた,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,0,10
こと,こと,こと,名詞,形式名詞,NIL,0,10
の,の,の,助詞,格助詞,NIL,0,10
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,0,10
