見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
の,の,の,助詞,格助詞,NIL,１,0,4
見つめて,みつめて,見つめる,動詞,*,代表表記:見詰める/みつめる,１,0,4
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１,0,4
方,かた,方,名詞,普通名詞,代表表記:方/かた カテゴリ:抽象物 漢字読み:訓,１,0,4
を,を,を,助詞,格助詞,NIL,１,0,4
ながめ,ながめ,ながめる,動詞,*,代表表記:眺める/ながめる,１,0,4
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１,0,4
。,。,。,特殊,句点,NIL,１,0,4
すると,すると,すると,接続詞,*,代表表記:すると/すると,１,0,5
、,、,、,特殊,読点,NIL,１,0,5
道,どう,道,名詞,普通名詞,代表表記:道/どう ドメイン:交通 カテゴリ:組織・団体;場所-施設;場所-その他 漢字読み:音 多義,１,0,5
の,の,の,助詞,格助詞,NIL,１,0,5
まん,まん,まん,接頭辞,名詞接頭辞,代表表記:真ん/まん 内容語,１,0,5
中,なか,中,名詞,普通名詞,代表表記:中/なか カテゴリ:場所-機能 漢字読み:訓,１,0,5
に,に,に,助詞,格助詞,NIL,１,0,5
、,、,、,特殊,読点,NIL,１,0,5
みょうな,みょうな,みょうだ,形容詞,*,代表表記:妙だ/みょうだ,１,0,5
こと,こと,こと,名詞,形式名詞,NIL,１,0,5
が,が,が,助詞,格助詞,NIL,１,0,5
おこって,おこって,おこる,動詞,*,代表表記:怒る/おこる,１,0,5
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１,0,5
のです,のです,のだ,助動詞,*,NIL,１,0,5
。,。,。,特殊,句点,NIL,１,0,5
むこうの,むこうの,むこうだ,形容詞,*,代表表記:無効だ/むこうだ 反義:形容詞:有効だ/ゆうこうだ,１,0,6
マンホール,まんほーる,マンホール,名詞,普通名詞,代表表記:マンホール/まんほーる カテゴリ:人工物-その他,１,0,6
の,の,の,助詞,接続助詞,NIL,１,0,6
てつ,てつ,てつ,名詞,普通名詞,代表表記:鉄/てつ カテゴリ:自然物 漢字読み:音,１,0,6
の,の,の,助詞,接続助詞,NIL,１,0,6
ふた,ふた,ふた,名詞,普通名詞,代表表記:蓋/ふた カテゴリ:人工物-その他,１,0,6
が,が,が,助詞,格助詞,NIL,１,0,6
、,、,、,特殊,読点,NIL,１,0,6
じ,じ,じ,名詞,時相名詞,代表表記:時/じ カテゴリ:時間 漢字読み:音 弱時相名詞,１,0,6
りり,りり,りり,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia名,１,0,6
、,、,、,特殊,読点,NIL,１,0,6
じり,じり,じり,名詞,普通名詞,代表表記:尻/しり 濁音化D カテゴリ:動物-部位,１,0,6
り,り,り,接尾辞,名詞性名詞接尾辞,代表表記:り/り 連用形名詞化:る/る,１,0,6
と,と,と,助詞,格助詞,NIL,１,0,6
、,、,、,特殊,読点,NIL,１,0,6
もち上がって,もちあがって,もち上がる,動詞,*,代表表記:持ち上がる/もちあがる 自他動詞:他:持ち上げる/もちあげる,１,0,6
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１,0,6
のです,のです,のだ,助動詞,*,NIL,１,0,6
。,。,。,特殊,句点,NIL,１,0,6
だれ,だれ,だれ,名詞,普通名詞,代表表記:誰/だれ カテゴリ:人,１,0,7
か,か,か,助詞,接続助詞,NIL,１,0,7
